AnoMes,qtdCartoesEmitidos,qtdCartoesAtivos,qtdTransacoesNacionais,valorTransacoesNacionais,qtdTransacoesInternacionais,valorTransacoesInternacionais
2012-02,6857,54,521,9840492.0,52,3916915.0
2012-02,2055370,772836,9587108,52894145442.0,113,1740569.0
2012-02,247103,28107,503838,8672185564.0,17048,763180817.0
2012-02,234328,161745,5454027,87113182455.0,357601,9924189919.0
2012-02,47378,26907,706464,27728550853.0,31577,1928189849.0
2012-02,817145,322654,4827570,99759897739.0,182227,8114306008.0
2012-02,11704221,4040475,27503133,261643682705.0,25800,110460096.0
2012-02,5194553,1528595,13044399,113934979029.0,8350,38304649.0
2012-02,62487,32267,400281,3249579869.0,1,10.0
2012-02,496982,237021,3795062,143215534795.0,230378,11168475346.0
2012-02,633888,206219,62851,3245199031.0,0,0.0
2012-02,50018,12373,277518,2755681659.0,8634,532538233.0
2012-02,41343,9159,134377,715816008.0,0,0.0
2012-02,1081104,36957,178303,1469068148.0,8,108798.0
2012-02,542404,56759,345752,1756822717.0,0,0.0
2012-02,1211686,704861,12629346,89557484616.0,4,33567.0
2012-02,27204,19864,295329,501188826.0,10968,392503855.0
2012-02,2377287,1127581,6282061,58360231167.0,30731,359181819.0
2012-02,271349,139209,317493,181355891295.0,13520,781251925.0
2012-02,114373558,31542910,385437488,2069938779949.0,196859,4137324644.0
2012-02,7806650,3801766,44957164,25084166258.0,0,0.0
2012-02,7004256,4499997,72063639,879847549901.0,2137598,42008363492.0
2012-02,451210,124636,1491836,17533795574.0,919,36204608.0
2012-02,6078088,3927906,22429492,217447237563.0,1,1.0
2012-02,1674521,626777,9293477,180299630038.0,320461,1486833317.0
2012-02,15891196,8414350,125149416,1125901272113.0,2466295,30564506989.0
2012-02,136209048,36064075,439658829,2436276929246.0,212886,2474553529.0
2012-02,42807,19747,167782,1651749309.0,3222,35346263.0
2012-02,1053719,634845,7606653,83743256089.0,174776,2656882442.0
2012-02,12380,7928,124850,1010306132.0,0,0.0
2012-02,57856,10920,142897,1283941275.0,4776,102147715.0
2012-02,608151,189081,1104308,11594465953.0,0,0.0
2012-02,878971,207494,1354514,720991345.0,0,0.0
2012-02,146656,74267,658477,5792949487.0,7305,231667664.0
2012-02,5313,2142,44433,1120429955.0,5303,334395865.0
2012-02,102,56,1151,5912672.0,73,3878185.0
2012-02,1234361,793075,16469240,126099580993.0,14,134596.0
2012-02,8962,4340,206860,5943465985.0,33300,208321836.0
2012-02,281233,180164,7589142,138252424426.0,585160,25132372334.0
2012-02,25369,14868,200621,954998843.0,0,0.0
2012-02,873343,441961,5870412,41962294502.0,13948,40787201.0
2012-02,12254927,7589805,102723535,976752847968.0,1927250,23078519779.0
2012-02,2551594,767025,35732,509836188.0,0,0.0
2012-02,2905023,1147974,25040045,149793471402.0,0,0.0
2012-02,190356,105560,1828135,17951290489.0,8,74684.0
2012-02,11161,2220,112534,1075687922.0,5909,132924239.0
2012-02,922165,620977,6582664,57173874909.0,40,3300712.0
2012-02,4994,3857,7093,48301367.0,0,0.0
2012-03,1383862,281537,1736028,880802386.0,0,0.0
